date,tweet,likes_count,sentiment
2022-03-03,"@FedorovMykhailo @SpaceX @SpaceXStarlink @Honda @ChampionGen @westinghouse @DuroMaxPower Updating software to reduce peak power consumption, so Starlink can be powered from car cigarette lighter.  Mobile roaming enabled, so phased array antenna can maintain signal while on moving vehicle.",55347,negative
2022-03-03,@SpaceX 🇺🇸🇺🇸  American Broomstick  🇺🇸🇺🇸  https://t.co/r2hJvFQosS,74967,positive
2022-03-03,"@WhatsupFranks @Teslarati @ResidentSponge Yeah, maybe 98",1980,positive
2022-03-03,@Teslarati @ResidentSponge This old YouTube clip helps explain why former UAW members who work at Tesla are not huge fans of UAW  https://t.co/dncVvZrkoL,3387,positive
2022-03-03,@OwenSparks_ @ICannot_Enough @genesimmons @JoeBiden Yes,3950,positive
2022-03-03,"@ICannot_Enough @genesimmons @JoeBiden By the way, Tesla factory worker compensation is the highest in the auto industry  https://t.co/Peo3qtYc5D",5478,positive
2022-03-03,"@ICannot_Enough @genesimmons @JoeBiden Our real challenge is Bay Area has negative unemployment, so if we don’t treat and compensate our (awesome) people well, they have many other offers and will just leave!  I’d like hereby to invite UAW to hold a union vote at their convenience. Tesla will do nothing to stop them.",6839,positive
2022-03-03,@TheBabylonBee 🤣,14491,positive
2022-03-03,"@genesimmons @JoeBiden Actually, we still operate our California factory, which is the largest auto plant in North America, at full capacity and are considering expanding it significantly.  It has built 2/3 of all electric vehicles in North America, twice as much as all other carmakers combined.",53013,negative
2022-03-03,@katlinegrey @Rogozin Ukraine civilian Internet was experiencing strange outages – bad weather perhaps? – so SpaceX is helping fix it,32273,positive
2022-03-03,"@FedorovMykhailo @Brian_J_Berger @SpaceX @SpaceXStarlink @Honda @ChampionGen @westinghouse @DuroMaxPower @W__Home Solar area will need to be higher with obscuration, but works better than one might think",7774,positive
2022-03-02,"@FedorovMykhailo @Brian_J_Berger @SpaceX @SpaceXStarlink @Honda @ChampionGen @westinghouse @DuroMaxPower Solar panels + battery pack better than generator, as no heat signature or smoke &amp; doesn’t run out of fuel",14236,negative
2022-03-02,"@WholeMarsBlog We could’ve made a 600 mile Model S 12 months ago, but that would’ve made the product worse imo, as 99.9% of time you’d be carrying unneeded battery mass, which makes acceleration, handling &amp; efficiency worse. Even our 400+ mile range car is more than almost anyone will use.",22213,negative
2022-03-02,"@teslaownersSV 🤣🤣 That was me tweeting from @SpaceX when someone else had snatched my name.   I was actually one of the earliest Twitter users, but dropped my account because people were tweeting such trivialities at first. @westcoastbill convinced me to get back in.",25778,positive
2022-03-02,@WholeMarsBlog The probability of Tesla dying in 2008/2009 was very high. We closed our financing round at 6pm on Dec 24th – the last working hour of the last day before Tesla would otherwise bounce payroll.,5880,positive
2022-03-02,"@JasonDanheiser @WholeMarsBlog @28delayslater Self-driving cars &amp; useful humanoid robots require a sophisticated understanding of reality. I am increasingly convinced that they are on the path to solving AGI.   Should AGI be solved? I don’t know, but humanity is moving rapidly in this direction whether I like it or not.",5430,negative
2022-03-02,"@RealLifeLore22 Pretty good summary, although national pride is underweighted relative to economics. Latter serves former, not other way around.   The foundational issue imo, which this video doesn’t ignore, is low birth rate. After all, what good is land with no people?",8482,negative
2022-03-02,@dogesuppporteam @CarlosS74671189 @JoeBiden .@McDonalds,9167,positive
2022-03-02,@MSNBC Saints Row IV was sickkk,3843,negative
2022-03-02,@MSNBC Saints Row  https://t.co/bWWiGAhw41,7548,negative
2022-03-02,"@_bennettm_ @RyanZohoury @JoeBiden Well, I do have multiple personality disorder, but they’re all technically in the same head",71544,positive
2022-03-02,@DBurkland Investigating,5120,negative
2022-03-02,"@JoeBiden Tesla has created over 50,000 US jobs building electric vehicles &amp; is investing more than double GM + Ford combined  [fyi to person controlling this twitter]",270829,positive
2022-03-02,"@teslaownersSV @WholeMarsBlog Our primary challenge is affordability. Creating an expensive truck is relatively easy.   If it is extremely hard to do so for Tesla, despite our much greater economies of scale &amp; better technology, then it is damn near impossible for others.",8802,negative
2022-03-02,@WholeMarsBlog He plays golf a lot,2830,positive
2022-03-02,"@WholeMarsBlog @Teslarati @KlenderJoey Saudi Arabia owns 2/3 of Lucid, so inevitable",4609,negative
2022-03-02,@Teslarati @KlenderJoey Their negative gross margin will be staggering,7461,negative
2022-03-02,"@ICannot_Enough @Model3Owners Coming soon, if you want your car to make a loud farting sound from the external speaker, just say “Fart in their general direction!”",8115,negative
2022-03-02,"@GerberKawasaki @ICannot_Enough @Model3Owners All cars made since November also have push center for horn – just waiting on firmware update. If you mash right side of yoke with your palm, horn will trigger.",3198,negative
2022-03-02,"@Liv_Boeree If your war technology level is far higher than your opponent, tactics don’t matter: source_not_found",7064,negative
2022-03-02,@ICannot_Enough @Model3Owners Swipe down on navigate button to navigate home or to work if at home,3977,negative
2022-03-01,"@DriveTeslaca Depends on what issues we see that are unique to Canada. If things are looking good, then we can lower the safety score threshold.",9915,positive
2022-03-01,@FedorovMykhailo You are most welcome,249465,positive
2022-02-27,@FedorovMykhailo Starlink service is now active in Ukraine. More terminals en route.,830581,positive
2022-02-26,@Space_Pete Good thread,16995,positive
2022-02-26,@tes1m211 @Rogozin Yes,23134,positive
2022-02-26,@Rogozin  https://t.co/4kRJyp0FOv,70257,positive
2022-02-26,@dlauer Would be a good move. Needs to include put options &amp; synthetic shorts.,16034,positive
2022-02-25,@SpaceX Successful Starlink deploy  https://t.co/ChUh6JWaQd,36880,positive
2022-02-25,@DriveTeslaca We’ve had about 60 or so cars testing internally in Canada. Hoping to go wider this weekend.,9472,negative
2022-02-25,"@teslaownersSV @SpaceX Starlink is a little patchy to Tonga right now, but will improve dramatically as laser inter-satellite links activate",7138,positive
2022-02-25,@SciGuySpace Yes,10004,positive
2022-02-25,@ICannot_Enough @WholeMarsBlog 🤣,3799,positive
2022-02-25,"@WholeMarsBlog LIDAR is a seductive local maximum. SpaceX designed &amp; built them to dock with ISS.  However, the road system was designed to work with biological neural nets &amp; eyes, so a general solution to self-driving necessarily will require silicon neural nets &amp; cameras.  Real-world AI.",6542,positive
2022-02-25,@CryptoWhale @Gfilche Protagonists created over half a century ago don’t count,3639,negative
2022-02-25,@moxie Signal is the least insecure messaging service,4065,positive
2022-02-25,@Gfilche Hollywood refuses to write even one story about an actual company startup where the CEO isn’t a dweeb and/or evil,10933,positive
2022-02-25,@teslaownersSV @moxie Just iMessage &amp; Signal,4083,negative
2022-02-25,@A7imd Me too,4212,positive
2022-02-25,"@moxie Actual question, not rhetorical",2164,positive
2022-02-25,@moxie Are you sure Signal is secure?,3459,negative
2022-02-25,@vgdunkey 🤣,12509,positive
2022-02-23,"@TSLAFanMtl @DoctorJack16 I didn’t start the fight, but I will finish it.",33278,positive
2022-02-23,@DoctorJack16 Building a case is exactly what I’ve been doing,32044,positive
2022-02-23,@ziqi37 @teslaownersSV @SECGov Exactly,5595,positive
2022-02-23,@Rainmaker1973 @gunsnrosesgirl3 Would be cool if we are backed up somehow,9105,positive
2022-02-23,@WholeMarsBlog Yeah,8200,positive
2022-02-23,"@WholeMarsBlog @moneymik3420 @jack @gdb Yeah, definitely don’t use C unless optimizing for hardware performance!",3502,positive
2022-02-23,"@jack @gdb I’m a fan of Rust. Clearly scales well, given that Discord uses it.  For max performance, however, nothing beats tight C with a customized compiler on specialized hardware. Important for max frame rate on vehicle inference computer.  Otherwise, we mostly use C++ &amp; Python.",10989,positive
2022-02-23,"@Kristennetten While it is tempting to focus on one of those arenas as the “hard one”, in fact they are all difficult &amp; important. Tight C &amp; custom compiler too.  An inference computer optimized for energy efficiency, reliability &amp; long life is also critical. Can’t just jam GPUs in the trunk.",3343,negative
2022-02-23,@tesletter @Kristennetten Definitely,2324,positive
2022-02-23,"@Kristennetten A general solution to self-driving (essentially, real-world AI) requires writing extremely difficult software in the arenas of training, inference, control, analytical tools, data management, hardware optimization &amp; simulation.  One of the hardest technology problems that exists.",7605,negative
2022-02-23,@gdb Compilers can be way better too. Not enough effort spent there.,2886,negative
2022-02-23,@gdb 💯,4162,positive
2022-02-23, https://t.co/OrLV2c3qy2,205929,positive
2022-02-23,@TalbottRicky Sorry!,1250,negative
2022-02-23,@cybrtrkguy @DMC_Ryan @CyberpunkGame 💯,2442,positive
2022-02-23,@DMC_Ryan @CyberpunkGame We’re working through the general case of making Steam games work on a Tesla vs specific titles. Former is obviously where we should be long-term.,2964,negative
2022-02-23,@nicemedia_fr Yes. This is an advantage of iron cathode lithium batteries.,13243,positive
2022-02-23,@CyberpunkGame Night City has beautiful art,9506,positive
2022-02-23,@CyberpunkGame Great game,18689,positive
2022-02-22,@stats_feed But 69% of statistics are false,39608,positive
2022-02-22,@FreeSpeechAmer @davidfrum 🤣,3250,positive
2022-02-22,@ashleevance Norway is awesome! 🇳🇴,12445,positive
2022-02-22,"@teslaownersSV Small changes usually affect production for less than an hour, as they’re applied to a few stations during breaks.  Big changes may impact output for a day or two. Reversing out big changes or unexpected parts shortages are what impact several days.",3207,positive
2022-02-22,@teslaownersSV Sometimes 20 small changes in a single week,6096,negative
2022-02-22,"@FoxNews Switching to renewables with batteries would avoid blackouts. Batteries are essential, due to the intermittent nature of renewables.",9296,negative
2022-02-22,@aparanjape @pmarca We must fight for it to be better,2170,positive
2022-02-22,@Teslarati @ResidentSponge This is just peeling back the first layer of the corruption onion. Stay tuned …,18771,positive
2022-02-22,@pmarca Why many come to America,1974,negative
2022-02-22,@Rainmaker1973 Beautiful,6701,positive
2022-02-22,@GailAlfarATX @SpaceX @SirineAti @austinbarnard45 @OwenSparks_ @TacosandTeslas @EvaFoxU @DimaZeniuk @Grandpajoe42 @AstroJordy Yes,3134,positive
2022-02-22,@WholeMarsBlog V11 is 💥,5498,negative
2022-02-22,@EricMagvas @westcoastbill Tuesday,2210,positive
2022-02-22,@westcoastbill Yeah,1693,positive
2022-02-22,tau &gt; pi,46511,positive
2022-02-22,ℏ,125840,positive
2022-02-22,@Teslarati @Writer_01001101 !!,3286,positive
2022-02-22,@JohnnaCrider1 !,2655,positive
2022-02-22,@Rainmaker1973 In Earth years,12646,positive
2022-02-22,@PPathole @SpaceX @mayemusk It is taking longer than expected to make the upper stage not expendable (sigh),7735,negative
2022-02-22,"@BBCScienceNews Instead of “research suggests”, I suggest “warlocks say”",1990,positive
2022-02-22,@simongerman600 @waitbutwhy … a river,4496,positive
2022-02-22,@BBCScienceNews 😮,3476,positive
2022-02-22,@astro_greek 🤣,5945,positive
2022-02-22,@TeslaGong 🤣,1545,positive
2022-02-22,M Night should do a horror movie about this – it would resonate,48388,positive
2022-02-22,Entertainment is becoming a username/password/2FA nightmare  https://t.co/fKht3NKsho,215369,negative
2022-02-21,"@BRO_SPI_Airport @SpacePadreIsle @SpaceX Sounds good, we will send one over",4444,positive
2022-02-21,@martiandoge @SteveofRivia @almeneses1 @SawyerMerritt That would be great,2032,positive
2022-02-21,@BillyM2k @SteveofRivia @almeneses1 @SawyerMerritt 🤣,4313,positive
2022-02-21,"@SpacePadreIsle @SpaceX Maybe near BRO airport, since that serves both communities?",4168,positive
2022-02-21,"@SpacePadreIsle @SpaceX If South Padre and/or Brownsville would like a Starship prototype, we can send one over",9422,positive
2022-02-21,"@SteveofRivia @almeneses1 @SawyerMerritt I’m pretty sure I’ve paid the most taxes of any individual ever to California, but it isn’t obvious what is done with the money",5512,negative
2022-02-21,"@cgpgrey @waitbutwhy Rather than correcting itself, the lower birth rate trend appears to be accelerating",2256,positive
2022-02-21,"@d4t4wr4ngl3r @Tesla Tesla owners in the greater Giga Texas area will get priority, so yes",8603,positive
2022-02-21,@cgpgrey @waitbutwhy Single biggest threat to future of civilization imo,2919,positive
2022-02-21,@_bennettm_ Ok,8368,positive
2022-02-21,@BillyM2k 🤣,18897,positive
2022-02-21,@Charlotte326 @waitbutwhy They will be fine,6990,positive
2022-02-21,"@JohnnaCrider1 @Ravoyd @SawyerMerritt @SenWarren The only reason I didn’t pay federal tax in 2018 is because I *overpaid* in 2017! Since they stole my tax records, they actually know that.",5906,negative
2022-02-21,@waitbutwhy 💯,20155,positive
2022-02-21,@TPostMillennial Hypocritical megadouche!,23508,positive
2022-02-21,"@SawyerMerritt Will visit IRS next time I’m in DC just to say hi, since I paid the most taxes ever in history for an individual last year. Maybe I can have a cookie or something …",98071,negative
2022-02-20,@ID_AA_Carmack True,2455,positive
2022-02-20,@Erdayastronaut @Twitter @jack @TwitterComms Seriously. How long must this go on?,13512,negative
2022-02-20,"@TeslaOwnersEBay @WholeMarsBlog @teslaownersSV @MadonnaInn @telsa @SjvTesla @TeslaClubSoCal @TeslaClubLA @TeslaOwnersNBay @MyTeslaAdventur @teslaownersriv1 @OCTeslaClub @Tesla Depends mostly on FAA certification, but hopefully within 6 months.   We’re testing on Gulfstreams to debug issues, but deployment priority is commercial airliners.",2693,positive
2022-02-20,@teslaownersSV @MadonnaInn @telsa @SjvTesla @TeslaClubSoCal @TeslaClubLA @TeslaOwnersNBay @MyTeslaAdventur @teslaownersriv1 @OCTeslaClub @Tesla Cybertruck,3460,positive
2022-02-20,"@WholeMarsBlog @teslaownersSV @MadonnaInn @telsa @SjvTesla @TeslaClubSoCal @TeslaClubLA @TeslaOwnersNBay @MyTeslaAdventur @teslaownersriv1 @OCTeslaClub @Tesla Yes, in the air",2359,positive
2022-02-20,@teslaownersSV @MadonnaInn @telsa @SjvTesla @TeslaClubSoCal @TeslaClubLA @TeslaOwnersNBay @MyTeslaAdventur @teslaownersriv1 @OCTeslaClub @Tesla Probably,4310,positive
2022-02-20,I think it will reach #2,89468,negative
2022-02-20,I’m dropping a new album,109396,positive
2022-02-20, https://t.co/f6MMoldb8r,364003,positive
2022-02-19,@PPathole @SpaceX We have a very talented team,24972,positive
2022-02-19,@westcoastbill #teamhumanity,3591,positive
2022-02-19,"@DominiqueTaegon I wish I could help. At this point, it seems that voting at the next election is the remedy.",25147,negative
2022-02-19,"@GailAlfarATX @WholeMarsBlog Actually, April 7th",4755,positive
2022-02-19,"@ID_AA_Carmack SpaceX’s goal is to make life multiplanetary, whereas their goal is to put a handful of satellites in orbit",5800,negative
2022-02-19,@ID_AA_Carmack Are they even trying?,6075,negative
2022-02-19,@BLKMDL3 @GailAlfarATX @WholeMarsBlog Yes,3445,positive
2022-02-19,@NoahWebb_ @GailAlfarATX @WholeMarsBlog Yes,2315,positive
2022-02-19,@GailAlfarATX @WholeMarsBlog April 1st,4192,negative
2022-02-19,"@RyanZohoury @TeslaCharging @Tesla And, of course, you can pay in Ðoge",14202,positive
2022-02-19,@RyanZohoury @TeslaCharging @Tesla And futuristic diner / drive-in theater planned for Hollywood area!,11300,positive
2022-02-19,@WholeMarsBlog Indeed,6176,positive
2022-02-19,"@BillyM2k Lucky bastards, we are!",20622,negative
2022-02-19,@lexfridman We are a mobile cell colony,9356,positive
2022-02-19,So amazing that we decompress from a single cell to over 30 trillion cells,191985,positive
2022-02-18,@nichegamer 🤣,2124,positive
2022-02-18,@engineers_feed …,19177,positive
2022-02-18,@BillyM2k Absolutely,7628,positive
2022-02-18,@teslaownersSV Pretty much 🤣🤣,53862,positive
2022-02-18,@jimcramer Plaid Model S &amp; X are sublime,6033,positive
2022-02-18,@jimcramer Product &gt; Marketing,12019,positive
2022-02-18,@OttawaBylaw 💔,28796,negative
2022-02-18,"An evolutionary asymmetry helpful to survival, but counterproductive when survival is not at stake",84520,negative
2022-02-17,Reasons to hate are remembered better than reasons to love,254941,positive
2022-02-17,"@truth_tesla @CoinDesk @Aoyon_A @realDannyNelson For an in-depth explanation, read  https://t.co/eEojD2dQ2k",3434,positive
2022-02-17,@PPathole @Tesla @SpaceX High pain threshold,16671,negative
2022-02-17,@JoeBiden Model 3 is literally the most made in America car in – well of course – America,30831,positive
2022-02-17,"@westcoastbill I was at a lunch with Munger in 2009 where he told the whole table all the ways Tesla would fail.   Made me quite sad, but I told him I agreed with all those reasons &amp; that we would probably die, but it was worth trying anyway.",124665,negative
2022-02-17,@RenataKonkoly @SawyerMerritt Some carmakers are trying hard,4867,negative
2022-02-17,@JoeBiden [ahem]  https://t.co/I1NfOhvlZ2,38014,positive
2022-02-17,@24_7TeslaNews @SawyerMerritt Ok,2551,positive
2022-02-17,@SawyerMerritt No way 🙄,10234,positive
2022-02-16,@WholeMarsBlog @CNBC 🤔,5077,positive
2022-02-16,@BillyM2k @TwitterSupport Agreed. This has been broken for a long time.,19417,positive
2022-02-15,This will be real in our lifetime,61528,negative
2022-02-15,Starship to Mars simulation  https://t.co/fkpYvv5pMR,72479,positive
2022-02-15,@Liv_Boeree @w_terrence Election time will be interesting,13475,positive
2022-02-15,@SirineAti @swenterprizes Announcements coming soon,4082,negative
2022-02-15,"@TeslaGong Yes, but more ground stations &amp; improved packet routing will make a bigger difference",6205,positive
2022-02-15,@swenterprizes System is working well in Australia &amp; New Zealand,1844,positive
2022-02-15,Over 250k Starlink user terminals,134330,positive
2022-02-14,Destacking Starship  https://t.co/dUWz3uwwmb,78786,positive
2022-02-14,"@TeslaPodcast Wow, that’s a lot of podcasts! Ok, I will do one. Maybe we could combine with Dave Lee and a few others.",47197,positive
2022-02-14,@SawyerMerritt 🤣,17889,positive
2022-02-14,@JohnnaCrider1 @ilyasut 😉,5565,positive
2022-02-14,@lexfridman @waitbutwhy Tim is great,7192,positive
2022-02-14,@slashdot Great,6505,positive
2022-02-14,@ilyasut So many layers with Tesla FSD AI!,3971,positive
2022-02-13,@GailAlfarATX @Tesla ♥️,10398,positive
2022-02-13,@ESGhound The pledge is good no matter what,4241,positive
2022-02-13,@PPathole @SpaceX Moving to 33 engines on next booster,10958,positive
2022-02-13,@McDonalds 💦,42836,negative
2022-02-13,@teslaownersSV Ancient times,10928,positive
2022-02-13,@Filasophical @TeslaHistorian The fun police made us do it (sigh),5087,positive
2022-02-13,@TeslaHistorian Now Tesla is worth a trilly willy!,15050,positive
2022-02-13,"@JeffTutorials Yup, we need to do that",11445,positive
2022-02-13,@BillyM2k High standard!,46059,positive
2022-02-12,@Tesmanian_com That was a tough one. New Model Y structural pack is next-level though.,9336,negative
2022-02-12,"@ArceneauxHayley @rookisaacman Happy birthday, Jared!",8411,positive
2022-02-12,"The duty of a leader is to serve their people, not for the people to serve them",612163,negative
2022-02-11,@WholeMarsBlog Car should also reverse slightly if it peeks into an intersection &amp; sees fast-moving cross-traffic (just like a person would),7278,positive
2022-02-11,@28delayslater Exactly,9862,positive
2022-02-11,@heydave7 True,14740,positive
2022-02-11,@SpaceX Probably 250 t-F by end of year,26125,negative
2022-02-11,"@NASASpaceflight Later this year, remaining fussy bits will be gone, allowing deletion of shroud",7074,negative
2022-02-11,"@TheBabylonBee True national debt, including unfunded entitlements, is at least $60 trillion – roughly three times the size of the entire US economy. Something has got to give.",33701,positive
2022-02-11,@wintonARK Looming disaster for sure,3973,positive
2022-02-11,@waitbutwhy Good question!,20069,positive
2022-02-10,@cnunezimages @SpaceX @SpaceIntellige3 Human for scale,8071,positive
2022-02-10, https://t.co/7IJbqbYzkA,291829,positive
2022-02-10, https://t.co/EmLdMdPizM,80946,positive
2022-02-10, https://t.co/BDP2yRxYpI,252464,positive
2022-02-10, https://t.co/j1j32Iu1oA,40317,positive
2022-02-10,Tower arms are lifting Starship onto Super Heavy Booster  https://t.co/kJacH9sRBI,68624,positive
2022-02-10,@slashdot This would generate a lot of goodwill,2865,positive
2022-02-10,@TechCrunch 🧲 ⛈ 🪦,16884,positive
2022-02-10,@archillect 🖤,8185,positive
2022-02-10,Much appreciated!,35262,positive
2022-02-10,@SawyerMerritt @WholeMarsBlog Model X is an extremely difficult car to build. Most complex passenger car ever. Limiting factor is interior trim.,4579,positive
2022-02-10,@TheBabylonBee 🤣,9770,positive
2022-02-10,@SawyerMerritt @WholeMarsBlog We dropped the ball badly regarding new Model X production ramp &amp; still haven’t fully recovered. Was idiotic to stop production of old X in Dec 2020 when there was still plenty of demand!,4959,positive
2022-02-09,@BillyM2k @MrBeast Pretty much,8806,positive
2022-02-09,@TheBabylonBee 🤣,15797,positive
2022-02-09,"@GailAlfarATX @POTUS Thanks, this made a difference!",13831,positive
2022-02-09,@SawyerMerritt 😎,59380,positive
2022-02-09,@POTUS Tesla  https://t.co/3yhDxY2pjA,22750,positive
2022-02-08,@teslaownersSV @boringcompany @mayemusk @kimbal Yup!,7383,positive
2022-02-08,"Most news outlets attempt to answer the question: “What are the worst things happening on Earth today?”  It’s a big planet! Obviously, some bad things are happening somewhere at any given time, but focusing relentlessly on those does not give an accurate picture of reality.",154182,negative
2022-02-08,@GailAlfarATX So hard to find out what’s going on in the world without being bombarded with news that makes one sad &amp; angry!,15260,negative
2022-02-08,"@GuiStroz @JohnnaCrider1 True, careless negativity (destruction) is much harder than thoughtful positivity (creation)",7866,negative
2022-02-08,@stevenmarkryan Sadly true,7171,negative
2022-02-08,"@JohnnaCrider1 That’s true to some degree, but citizen podcasts that aren’t negative like Rogan, Fridman, Dodd, TED interviews, etc are very popular.   Maybe part of why traditional media outlets are so negative is because old habits die hard? They so rarely even try to be positive.",27924,negative
2022-02-08,@greg16676935420 🤣👍,16986,positive
2022-02-08,@slashdot Not needed,3744,negative
2022-02-08,Why is the “traditional” media such a relentless hatestream? Real question.,351578,negative
2022-02-08,@TheBabylonBee Fate ♥️ Irony,12018,negative
2022-02-07,@wintonARK It was so crazy! The insane tweet FUD campaign &amp; press hatestream of 2017-2019 is still easily found.,5478,negative
2022-02-07,🎶Always look on the bright side of life🎶,259464,positive
2022-02-07,🤣,58405,positive
2022-02-07,@BLKMDL3 @DragTimes Nice!,5131,positive
2022-02-07,@BillyM2k 💯,15680,positive
2022-02-07,@NathalieRach @Not_the_Bee @TheBabylonBee True,1902,positive
2022-02-07,@Not_the_Bee @TheBabylonBee What a hypocrite,5020,positive
2022-02-07,@UniverCurious High time we had tunnels!,7327,negative
2022-02-07,@boringcompany @ResortsWorldLV @LVCVA The Boring Company just connected Resorts World hotel to Vegas Convention Center!,17635,positive
2022-02-07,"@Teslarati @13ericralph31 @StarshipGazer As backdrops go, this is a good one",7922,positive
2022-02-07,"@nypost I’m pro vaccination, but anti vaccination mandate",68024,negative
2022-02-06,@slashdot Agreed,10052,positive
2022-02-06,@TeslaNY @live_munro Munro understands,9624,negative
2022-02-06,[Satire],57165,negative
2022-02-06,🚬 Thank You for Smoking 🚬,161469,positive
2022-02-06,Tesla Model S &amp; X Plaid are so fun!,39394,positive
2022-02-06,Extended tracking shot of Falcon 9  https://t.co/LlUIgOqCxC,29789,positive
2022-02-06,@EvaFoxU 🤣,9089,positive
2022-02-06, https://t.co/fm7mJLuf97,365700,positive
2022-02-05,@waitbutwhy !,6905,positive
2022-02-05,@engineers_feed All these different standards for electricity are a tax on humanity,14680,positive
2022-02-05,@farty_mcpoops @Olivier_Lambert @TheRealKeean Gavin is kinda badass in this vid,1774,positive
2022-02-05,@Ali_Tesla585 @teslaownersSV @TheRealKeean Only very high resolution radar is relevant,2512,positive
2022-02-05,"@teslaownersSV @TheRealKeean We have to solve a huge part of AI just to make cars drive themselves.   In retrospect, it was inevitable. The road system is designed for cameras (eyes) &amp; neural nets (brains).",3997,positive
2022-02-05,@TheRealKeean Double-standard?,39814,positive
2022-02-05,@TheRealKeean  https://t.co/ok0BmaoapC,34049,positive
2022-02-05,@TheRealKeean It’s not my money  https://t.co/IKRxhGo8wS,97953,negative
2022-02-04,@Tesmanian_com A bigger win than it may seem,14787,negative
2022-02-04,@co_tesla 💯,21909,positive
2022-02-04,@WholeMarsBlog 😢,7087,negative
2022-02-04,@RGVaerialphotos Yes,8598,positive
2022-02-04,@SirineAti Thursday next week at 8pm Texas time,10852,positive
2022-02-04,"@SirineAti Starship aspires to be the first fully reusable orbital launch vehicle, the holy grail of rocketry.   This is the critical breakthrough needed to make life multiplanetary.",4485,negative
2022-02-04,@GregWAutry And all the forms of life on Earth,2940,positive
2022-02-04,@GregWAutry Becoming multiplanetary is essential to extending dramatically the probable lifespan of civilization,6621,positive
2022-02-04,@SirineAti Starship is in a different league. Orders of magnitude more mass to orbit than Falcon. Necessary for creating a self-sustaining city on Mars.,4089,positive
2022-02-04,"If things go well, Falcon will launch about once a week on average in 2022, delivering ~2/3 of all Earth payload to orbit",39874,positive
2022-02-04,@GailAlfarATX @Tesla Tesla is working hard to provide more Megapacks for grid stabilization,7402,negative
2022-02-04,Congrats SpaceX Falcon team!,76194,positive
2022-02-04,@teslaownersSV Exactly. The terminology is anachronistic.,11194,positive
2022-02-03,"@pmarca Who controls the memes, Controls the universe.",37562,positive
2022-02-03,@SawyerMerritt Sigh,10602,negative
2022-02-02,@arctechinc High latitudes are operational probably this summer,2919,positive
2022-02-02,@TheBabylonBee Haha seriously,18133,negative
2022-02-02,"SpaceX standard antenna production rises rapidly this year, so those with orders shouldn’t have to wait long.  Note, Starlink can only support a limited number of users in an area, so best to order early.",17980,positive
2022-02-02,@engineers_feed 💯,9139,positive
2022-02-02,@MinimalDuck @Tesla @Gfilche @WholeMarsBlog Tunnels …,5843,negative
2022-02-02,"Exciting progress at Starbase, Texas!",161047,positive
2022-02-02,"@SpaceXFan97 @alexmd2 @SpaceX 320 bar is achievable, maybe even 330",5590,negative
